,Date,Ozone_mean,Ozone_min,Ozone_max,Nitric oxide_mean,Nitric oxide_min,Nitric oxide_max,Nitrogen dioxide_mean,Nitrogen dioxide_min,Nitrogen dioxide_max,Nitrogen oxides as nitrogen dioxide_mean,Nitrogen oxides as nitrogen dioxide_min,Nitrogen oxides as nitrogen dioxide_max,Sulphur dioxide_mean,Sulphur dioxide_min,Sulphur dioxide_max,Carbon monoxide_mean,Carbon monoxide_min,Carbon monoxide_max,PM10 particulate matter (Hourly measured)_mean,PM10 particulate matter (Hourly measured)_min,PM10 particulate matter (Hourly measured)_max,Non-volatile PM10 (Hourly measured)_mean,Non-volatile PM10 (Hourly measured)_min,Non-volatile PM10 (Hourly measured)_max,Volatile PM10 (Hourly measured)_mean,Volatile PM10 (Hourly measured)_min,Volatile PM10 (Hourly measured)_max,PM2.5 particulate matter (Hourly measured)_mean,PM2.5 particulate matter (Hourly measured)_min,PM2.5 particulate matter (Hourly measured)_max,Non-volatile PM2.5 (Hourly measured)_mean,Non-volatile PM2.5 (Hourly measured)_min,Non-volatile PM2.5 (Hourly measured)_max,Volatile PM2.5 (Hourly measured)_mean,Volatile PM2.5 (Hourly measured)_min,Volatile PM2.5 (Hourly measured)_max,Modelled Wind Direction_mean,Modelled Wind Direction_min,Modelled Wind Direction_max,Modelled Wind Speed_mean,Modelled Wind Speed_min,Modelled Wind Speed_max,Modelled Temperature_mean,Modelled Temperature_min,Modelled Temperature_max
0,2015-06-01,57.60043709726444,0.44903,96.69167,2.881437756813417,0.23408,49.08874,14.341146163522012,2.59208,53.90238,18.701210524109012,2.95099,111.39308,,,,,,,12.196734059097977,1.8,29.4,9.306220839813374,0.0,24.3,2.8905132192846033,0.0,10.7,8.123802163833076,2.0,23.9,5.317156105100463,0.1,16.0,2.8066460587326123,0.0,8.2,,,,,,,,,
1,2015-07-01,54.25889133233533,1.29721,132.86373,3.758569928741093,0.33303,31.6097,18.60966730952381,3.29428,65.20908,24.271049595238093,3.91011,78.06777,,,,,,,12.485325264750378,2.1,36.7,9.571406959152798,1.3,27.4,2.9139183055975795,0.0,11.1,8.98103186646434,1.0,32.5,5.893778452200303,0.2,23.4,3.0872534142640364,0.0,14.7,,,,,,,,,
2,2015-08-01,45.79080824212272,0.04989,117.44695,4.971742403560831,0.2794,83.18275,19.439237225519285,2.37724,67.51444,27.06246867952522,3.29651,184.80201,,,,,,,10.378486646884273,2.9,28.0,8.220919881305637,1.1,25.7,2.1575667655786352,0.0,6.3,7.385267857142857,0.8,23.2,4.9193452380952385,0.0,19.4,2.465922619047619,0.0,7.2,,,,,,,,,
3,2015-09-01,38.84218179675994,0.34925,113.15619,7.644233265625,0.25039,160.00021,23.763396750000002,2.11857,76.36039,35.484390375,2.99067,309.45158,,,,,,,11.29083044982699,2.0,34.4,8.764359861591696,1.3,31.0,2.526470588235294,0.1,7.6,7.2553911205074,0.1,27.7,6.443763213530656,0.1,27.1,2.66892177589852,0.0,9.1,,,,,,,,,
4,2015-10-01,37.44262915535445,1.04774,92.15145,10.643538791540786,0.21412,195.30379,26.93714925981873,3.62546,76.13376,43.25701385196375,4.08701,364.33316,,,,,,,13.02732142857143,3.4,46.3,10.359464285714287,0.8,44.9,2.6678571428571427,0.0,9.9,7.875491679273828,0.0,34.5,7.987594553706505,0.3,33.3,3.382602118003026,0.0,10.9,,,,,,,,,
5,2015-11-01,27.21622188536953,0.04989,82.5222,12.803352981927713,0.26443,142.14699,34.06586447289157,5.84333,82.55402,53.69739778614458,6.7218,266.362,,,,,,,18.88187134502924,4.6,58.6,14.484405458089668,2.1,47.7,4.397465886939571,0.3,13.9,12.960526315789474,1.1,59.9,10.635448916408668,0.1,54.7,2.325077399380805,0.0,10.0,,,,,,,,,
6,2015-12-01,34.465864586614174,0.04989,74.58929,12.486853431952662,0.45339,330.63179,31.778756351084812,3.77862,101.2138,50.92499704142012,4.79416,608.17548,,,,,,,14.773671497584541,3.9,49.5,12.276328502415458,2.2,43.2,2.4973429951690824,0.0,8.9,9.17736220472441,0.1,54.1,6.7622047244094485,0.0,47.1,2.415157480314961,0.0,9.8,,,,,,,,,
7,2016-01-01,42.450321117021275,0.29936,75.28778,7.5159909574468085,0.53135,205.77914,25.97180269503546,2.76069,85.94265,37.49616085106383,4.16399,401.46626,,,,,,,17.785283687943263,3.4,88.4,15.10886524822695,1.2,86.4,2.676418439716312,0.0,7.8,8.836170212765959,0.4,48.7,6.924645390070922,0.0,46.7,1.9115248226950352,0.0,7.1,,,,,,,,,
8,2016-02-01,32.76029816247582,0.13305,73.1923,27.852260592734225,0.38292,459.74667,37.60524694072658,3.8666,150.33876,80.31145061185468,4.45565,844.71874,,,,,,,13.703722084367246,2.5,44.0,10.914888337468982,0.9,39.1,2.788833746898263,0.0,9.5,8.484229390681003,0.4,41.2,6.462007168458782,0.0,37.4,2.0222222222222226,0.0,8.8,,,,,,,,,
9,2016-03-01,39.187294603481625,0.6985,81.07531,20.940138529980658,0.47148,344.48649,36.173197504835585,3.23723,134.24363,68.28096172147002,3.9933,640.22802,,,,,,,16.959381044487426,3.2,81.0,13.41257253384913,1.6,74.4,3.546808510638298,0.0,13.6,11.72873786407767,0.8,73.6,8.945825242718447,0.1,68.6,2.7829126213592232,0.0,13.4,,,,,,,,,
