,,,A&E attendances,,,,"A&E attendances less than 4 hours from arrival to admission, transfer or discharge",,,,"A&E attendances greater than 4 hours from arrival to admission, transfer or discharge",,,,Percentage of attendances within 4 hours,,Emergency Admissions,,,,,,,,
Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (all),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission,dates
NLW,South Of England Commissioning Region,Bristol Community Health,0,0,4709,4709,0,0,4701,4701,0,0,8,8,-,0.9983011255043533,0,0,0,0,0,0,0,0,April-2017
RVJ,South Of England Commissioning Region,North Bristol NHS Trust,7413,0,0,7413,6392,0,0,6392,1021,0,0,1021,0.8622689869148793,0.8622689869148793,2389,0,0,2389,1413,3802,335,3,April-2017
RA7,South Of England Commissioning Region,University Hospitals Bristol NHS Foundation Trust,8787,1753,0,10540,6984,1692,0,8676,1803,61,0,1864,0.794810515534312,0.8231499051233396,2684,16,0,2700,638,3338,448,0,April-2017
NLW,South Of England Commissioning Region,Bristol Community Health,0,0,4505,4505,0,0,4489,4489,0,0,16,16,-,0.9964483906770255,0,0,0,0,0,0,0,0,August-2017
RVJ,South Of England Commissioning Region,North Bristol NHS Trust,7182,0,0,7182,5254,0,0,5254,1928,0,0,1928,0.7315510999721526,0.7315510999721526,2334,0,0,2334,1613,3947,584,6,August-2017
RA7,South Of England Commissioning Region,University Hospitals Bristol NHS Foundation Trust,8371,1995,0,10366,7524,1936,0,9460,847,59,0,906,0.8988173455978975,0.9125988809569747,2640,9,0,2649,866,3515,137,0,August-2017
NLW,South Of England Commissioning Region,Bristol Community Health,0,0,4256,4256,0,0,4256,4256,0,0,0,0,-,1,0,0,0,0,0,0,0,0,December-2017
RVJ,South Of England Commissioning Region,North Bristol NHS Trust,7253,0,0,7253,5096,0,0,5096,2157,0,0,2157,0.7026058182820902,0.7026058182820902,2552,0,0,2552,1475,4027,858,122,December-2017
RA7,South Of England Commissioning Region,University Hospitals Bristol NHS Foundation Trust,9460,1623,0,11083,7861,1596,0,9457,1599,27,0,1626,0.8309725158562368,0.8532888207164125,3093,6,0,3099,808,3907,488,5,December-2017
