,,,A&E attendances,,,,"A&E attendances less than 4 hours from arrival to admission, transfer or discharge",,,,"A&E attendances greater than 4 hours from arrival to admission, transfer or discharge",,,,Percentage of attendances within 4 hours,,,,Emergency Admissions,,,,,,,,
Code,Region,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission,dates
NLW,NHS England South West ,Bristol Community Health,0,0,4560,4560,0,0,4555,4555,0,0,5,5,0.9989035087719298,-,-,0.9989035087719298,0,0,0,0,0,0,0,0,April-2018
RVJ,NHS England South West ,North Bristol NHS Trust,7429,0,0,7429,6168,0,0,6168,1261,0,0,1261,0.8302597927042671,0.8302597927042671,-,-,2536,0,0,2536,1659,4195,373,0,April-2018
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,9569,2036,0,11605,7821,1922,0,9743,1748,114,0,1862,0.8395519172770358,0.8173267844079841,0.944007858546169,-,2985,9,0,2994,838,3832,396,0,April-2018
NLW,NHS England South West ,Bristol Community Health,0,0,4839,4839,0,0,4832,4832,0,0,7,7,0.9985534201281256,-,-,0.9985534201281256,0,0,0,0,0,0,0,0,April-2019
RVJ,NHS England South West ,North Bristol NHS Trust,7934,0,0,7934,5532,0,0,5532,2402,0,0,2402,0.6972523317368289,0.6972523317368289,-,-,3183,0,0,3183,1772,4955,666,0,April-2019
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,9593,2230,0,11823,7109,2143,0,9252,2484,87,0,2571,0.7825425019030703,0.7410611904513708,0.9609865470852018,-,3096,8,0,3104,843,3947,545,0,April-2019
RVJ,NHS England South West ,North Bristol NHS Trust,4127,0,0,4127,3962,0,0,3962,165,0,0,165,0.9600193845408287,0.9600193845408287,-,-,2306,0,0,2306,735,3041,35,0,April-2020
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,6539,975,0,7514,5982,967,0,6949,557,8,0,565,0.9248070268831514,0.9148187796299129,0.9917948717948718,-,2539,5,0,2544,562,3106,84,0,April-2020
RVJ,NHS England South West ,North Bristol NHS Trust,7945,0,0,7945,5900,0,0,5900,2045,0,0,2045,0.7426054122089364,0.7426054122089364,-,-,3173,0,0,3173,1609,4782,463,6,April-2021
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,12921,1802,0,14723,9261,1771,0,11032,3660,31,0,3691,0.7493038103647355,0.7167401903877408,0.9827968923418424,-,3790,13,0,3803,625,4428,1077,71,April-2021
RVJ,NHS England South West ,North Bristol NHS Trust,7942,0,0,7942,4411,0,0,4411,3531,0,0,3531,0.5554016620498615,0.5554016620498615,-,-,2629,0,0,2629,1695,4324,1043,360,April-2022
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,13286,1949,0,15235,7477,1894,0,9371,5809,55,0,5864,0.6150968165408599,0.5627728435947614,0.9717804002052335,-,3402,10,0,3412,814,4226,1677,809,April-2022
RVJ,NHS England South West ,North Bristol NHS Trust,7939,0,0,7939,6364,0,0,6364,1575,0,0,1575,0.8016122937397657,0.8016122937397657,-,-,3125,0,0,3125,1574,4699,464,2,April-2023
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,13074,2147,0,15221,8661,2096,0,10757,4413,51,0,4464,0.7067209775967414,0.6624598439651216,0.976245924545878,-,4398,8,0,4406,1192,5598,1469,324,April-2023
NLW,NHS England South West ,Bristol Community Health,0,0,4813,4813,0,0,4806,4806,0,0,7,7,0.9985456056513609,-,-,0.9985456056513609,0,0,0,0,0,0,0,0,August-2018
RVJ,NHS England South West ,North Bristol NHS Trust,7690,0,0,7690,6057,0,0,6057,1633,0,0,1633,0.7876462938881664,0.7876462938881664,-,-,3000,0,0,3000,1709,4709,358,0,August-2018
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,8788,2074,0,10862,7735,2048,0,9783,1053,26,0,1079,0.9006628613515006,0.8801775147928994,0.9874638379942141,-,2805,12,0,2817,937,3754,96,0,August-2018
NLW,NHS England South West ,Bristol Community Health,0,0,5046,5046,0,0,5036,5036,0,0,10,10,0.9980182322631788,-,-,0.9980182322631788,0,0,0,0,0,0,0,0,August-2019
RVJ,NHS England South West ,North Bristol NHS Trust,8420,0,0,8420,7400,0,0,7400,1020,0,0,1020,0.8788598574821853,0.8788598574821853,-,-,3196,0,0,3196,1771,4967,264,0,August-2019
RA7,NHS England South West ,University Hospitals Bristol NHS Foundation Trust,9071,2204,0,11275,7391,2168,0,9559,1680,36,0,1716,0.8478048780487805,0.8147943997354206,0.9836660617059891,-,3008,12,0,3020,855,3875,377,0,August-2019
RVJ,NHS England South West ,North Bristol NHS Trust,7934,0,0,7934,6895,0,0,6895,1039,0,0,1039,0.8690446180993194,0.8690446180993194,-,-,3044,0,0,3044,1466,4510,90,0,August-2020
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,11902,1610,0,13512,9501,1591,0,11092,2401,19,0,2420,0.8208999407933688,0.7982691984540413,0.9881987577639751,-,3843,4,0,3847,797,4644,565,68,August-2020
RVJ,NHS England South West ,North Bristol NHS Trust,8342,0,0,8342,5128,0,0,5128,3214,0,0,3214,0.6147206904818988,0.6147206904818988,-,-,3045,0,0,3045,1511,4556,772,14,August-2021
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,13998,1903,0,15901,8653,1828,0,10481,5345,75,0,5420,0.6591409345324194,0.6181597371053008,0.9605885444035733,-,3975,6,0,3981,571,4552,1729,257,August-2021
RVJ,NHS England South West ,North Bristol NHS Trust,8521,0,0,8521,5183,0,0,5183,3338,0,0,3338,0.6082619410867269,0.6082619410867269,-,-,3109,0,0,3109,1414,4523,882,57,August-2022
RA7,NHS England South West ,University Hospitals Bristol And Weston NHS Foundation Trust,13430,2070,0,15500,7649,2009,0,9658,5781,61,0,5842,0.6230967741935484,0.5695457930007446,0.9705314009661836,-,3711,9,0,3720,961,4681,1790,758,August-2022
RVJ,NHS England South West ,North Bristol NHS Trust,8666,0,0,8666,6234,0,0,6234,2432,0,0,2432,0.719363027925225,0.719363027925225,-,-,2781,0,0,2781,1942,4723,536,17,August-2023
